Date : 2025-05-12 16:21:04
Directory : c:\abtik digital react\abtik-digital fn
Total : 90 files,  14631 codes, 909 comments, 773 blanks, all 16313 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\abtik digital react\abtik-digital fn\src\components\ui\dialog.tsx                            | TypeScript JSX     |        114 |          0 |         14 |        128 |
| c:\abtik digital react\abtik-digital fn\src\components\ui\dropdown.tsx                          | TypeScript JSX     |        183 |          0 |         20 |        203 |
| c:\abtik digital react\abtik-digital fn\src\components\ui\input.tsx                             | TypeScript JSX     |         19 |          0 |          4 |         23 |
| c:\abtik digital react\abtik-digital fn\src\components\ui\label.tsx                             | TypeScript JSX     |         21 |          0 |          6 |         27 |
| c:\abtik digital react\abtik-digital fn\src\components\ui\select.tsx                            | TypeScript JSX     |        146 |          0 |         14 |        160 |
| c:\abtik digital react\abtik-digital fn\src\data\blog.json                                      | JSON               |          0 |          0 |          1 |          1 |
| c:\abtik digital react\abtik-digital fn\src\data\protfolio.json                                 | JSON               |        389 |          0 |          0 |        389 |
| c:\abtik digital react\abtik-digital fn\src\index.css                                           | CSS                |          9 |          0 |          2 |         11 |
| c:\abtik digital react\abtik-digital fn\src\layout\Mainlayout.tsx                               | TypeScript JSX     |        327 |          3 |         18 |        348 |
| c:\abtik digital react\abtik-digital fn\src\lib\utils.ts                                        | TypeScript         |          5 |          0 |          2 |          7 |
| c:\abtik digital react\abtik-digital fn\src\main.tsx                                            | TypeScript JSX     |         10 |          0 |          3 |         13 |
| c:\abtik digital react\abtik-digital fn\src\pages\AboutUs.tsx                                   | TypeScript JSX     |        251 |         11 |         18 |        280 |
| c:\abtik digital react\abtik-digital fn\src\pages\AnimatedLine.tsx                              | TypeScript JSX     |         67 |          6 |         10 |         83 |
| c:\abtik digital react\abtik-digital fn\src\pages\Blog.tsx                                      | TypeScript JSX     |        193 |          5 |         14 |        212 |
| c:\abtik digital react\abtik-digital fn\src\pages\Career.tsx                                    | TypeScript JSX     |        554 |          3 |         26 |        583 |
| c:\abtik digital react\abtik-digital fn\src\pages\ClientStats.tsx                               | TypeScript JSX     |         71 |          0 |         10 |         81 |
| c:\abtik digital react\abtik-digital fn\src\pages\ContactUs.tsx                                 | TypeScript JSX     |        213 |         10 |         11 |        234 |
| c:\abtik digital react\abtik-digital fn\src\pages\DigitalMarketingService.tsx                   | TypeScript JSX     |        198 |         12 |          9 |        219 |
| c:\abtik digital react\abtik-digital fn\src\pages\Events.tsx                                    | TypeScript JSX     |         48 |          4 |         10 |         62 |
| c:\abtik digital react\abtik-digital fn\src\pages\ExpandedBlog.tsx                              | TypeScript JSX     |        333 |          3 |         22 |        358 |
| c:\abtik digital react\abtik-digital fn\src\pages\Faq.tsx                                       | TypeScript JSX     |        107 |          0 |         12 |        119 |
| c:\abtik digital react\abtik-digital fn\src\pages\Home.tsx                                      | TypeScript JSX     |         22 |          4 |          3 |         29 |
| c:\abtik digital react\abtik-digital fn\src\pages\Loader.tsx                                    | TypeScript JSX     |         36 |          0 |          8 |         44 |
| c:\abtik digital react\abtik-digital fn\src\pages\NotFound.tsx                                  | TypeScript JSX     |         21 |          0 |          3 |         24 |
| c:\abtik digital react\abtik-digital fn\src\pages\Partner.tsx                                   | TypeScript JSX     |         34 |         47 |          7 |         88 |
| c:\abtik digital react\abtik-digital fn\src\pages\PrivacyPolicy.tsx                             | TypeScript JSX     |        141 |          0 |          5 |        146 |
| c:\abtik digital react\abtik-digital fn\src\pages\Protfolio.tsx                                 | TypeScript JSX     |        596 |         10 |         17 |        623 |
| c:\abtik digital react\abtik-digital fn\src\pages\SeoService.tsx                                | TypeScript JSX     |        194 |          7 |         11 |        212 |
| c:\abtik digital react\abtik-digital fn\src\pages\Service.tsx                                   | TypeScript JSX     |        168 |          2 |         11 |        181 |
| c:\abtik digital react\abtik-digital fn\src\pages\Services.tsx                                  | TypeScript JSX     |         92 |          2 |          9 |        103 |
| c:\abtik digital react\abtik-digital fn\src\pages\SwiperCaraousal.tsx                           | TypeScript JSX     |        119 |          4 |         15 |        138 |
| c:\abtik digital react\abtik-digital fn\src\pages\Technologies.tsx                              | TypeScript JSX     |        173 |          6 |         11 |        190 |
| c:\abtik digital react\abtik-digital fn\src\pages\Test.tsx                                      | TypeScript JSX     |          0 |          0 |          1 |          1 |
| c:\abtik digital react\abtik-digital fn\src\pages\Testimonial.tsx                               | TypeScript JSX     |         63 |          1 |          7 |         71 |
| c:\abtik digital react\abtik-digital fn\src\pages\UIUXService.tsx                               | TypeScript JSX     |        195 |          8 |          8 |        211 |
| c:\abtik digital react\abtik-digital fn\src\pages\WebDevelopmentService.tsx                     | TypeScript JSX     |        316 |         13 |         15 |        344 |
| c:\abtik digital react\abtik-digital fn\src\reducers\reducer.ts                                 | TypeScript         |         20 |          4 |          6 |         30 |
| c:\abtik digital react\abtik-digital fn\src\section\Contact.tsx                                 | TypeScript JSX     |        312 |          4 |         23 |        339 |
| c:\abtik digital react\abtik-digital fn\src\section\Copyright.tsx                               | TypeScript JSX     |          6 |          0 |          3 |          9 |
| c:\abtik digital react\abtik-digital fn\src\section\Footer.tsx                                  | TypeScript JSX     |        205 |          6 |         15 |        226 |
| c:\abtik digital react\abtik-digital fn\src\section\Hero.tsx                                    | TypeScript JSX     |        412 |        398 |         97 |        907 |
| c:\abtik digital react\abtik-digital fn\src\section\HeroSection1.tsx                            | TypeScript JSX     |          0 |         64 |          9 |         73 |
| c:\abtik digital react\abtik-digital fn\src\section\Navbar.tsx                                  | TypeScript JSX     |        189 |          6 |         15 |        210 |
| c:\abtik digital react\abtik-digital fn\src\store\store.ts                                      | TypeScript         |          4 |          0 |          1 |          5 |
| c:\abtik digital react\abtik-digital fn\src\styles\AboutUs.css                                  | CSS                |         86 |         17 |         17 |        120 |
| c:\abtik digital react\abtik-digital fn\src\styles\ClientStats.css                              | CSS                |         10 |          1 |          2 |         13 |
| c:\abtik digital react\abtik-digital fn\src\styles\Contact.css                                  | CSS                |          0 |          0 |          1 |          1 |
| c:\abtik digital react\abtik-digital fn\src\styles\Faq.css                                      | CSS                |         49 |          5 |         10 |         64 |
| c:\abtik digital react\abtik-digital fn\src\styles\Footer.css                                   | CSS                |          0 |        123 |          1 |        124 |
| c:\abtik digital react\abtik-digital fn\src\styles\Header.css                                   | CSS                |         53 |         84 |          4 |        141 |
| c:\abtik digital react\abtik-digital fn\src\styles\HeroSection.css                              | CSS                |         92 |          3 |         16 |        111 |
| c:\abtik digital react\abtik-digital fn\src\styles\Loader.css                                   | CSS                |        101 |          3 |         19 |        123 |
| c:\abtik digital react\abtik-digital fn\src\styles\Navbar.css                                   | CSS                |         26 |          0 |          4 |         30 |
| c:\abtik digital react\abtik-digital fn\src\styles\Partner.css                                  | CSS                |          0 |          0 |          2 |          2 |
| c:\abtik digital react\abtik-digital fn\src\styles\Service.css                                  | CSS                |         66 |          4 |         10 |         80 |
| c:\abtik digital react\abtik-digital fn\src\styles\Swiper.css                                   | CSS                |        111 |          2 |         15 |        128 |
| c:\abtik digital react\abtik-digital fn\src\styles\Technologies.css                             | CSS                |         44 |          4 |          5 |         53 |
| c:\abtik digital react\abtik-digital fn\src\styles\Test.css                                     | CSS                |          0 |          0 |          1 |          1 |
| c:\abtik digital react\abtik-digital fn\src\styles\Testimonial.css                              | CSS                |         25 |          1 |          4 |         30 |
| c:\abtik digital react\abtik-digital fn\src\utils\ScrollToTop.tsx                               | TypeScript JSX     |         13 |          0 |          3 |         16 |
| c:\abtik digital react\abtik-digital fn\src\utils\ServiceHelperComponent.tsx                    | TypeScript JSX     |         75 |          0 |         10 |         85 |
| c:\abtik digital react\abtik-digital fn\src\utils\ThreeejsAnimation.tsx                         | TypeScript JSX     |          0 |          0 |          1 |          1 |
| c:\abtik digital react\abtik-digital fn\src\utils\withDelay.tsx                                 | TypeScript JSX     |         10 |          0 |          1 |         11 |
| c:\abtik digital react\abtik-digital fn\src\validation\emailMarketingValidation.ts              | TypeScript         |         10 |          0 |          2 |         12 |
| c:\abtik digital react\abtik-digital fn\src\vite-env.d.ts                                       | TypeScript         |          0 |          1 |          1 |          2 |
| c:\abtik digital react\abtik-digital fn\tsconfig.app.json                                       | JSON               |         22 |          2 |          3 |         27 |
| c:\abtik digital react\abtik-digital fn\tsconfig.json                                           | JSON with Comments |         17 |          0 |          1 |         18 |
| c:\abtik digital react\abtik-digital fn\tsconfig.node.json                                      | JSON               |         20 |          2 |          3 |         25 |
| c:\abtik digital react\abtik-digital fn\vite.config.ts                                          | TypeScript         |         13 |          2 |          3 |         18 |
| Total                                                                                           |                    |     14,631 |        909 |        773 |     16,313 |
+-------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
